id,name,category,severity,owasp_ref,description,trigger_keywords,fix_pattern,languages
V020,Missing Security Headers,Misconfiguration,MEDIUM,A02:2025,HTTP responses missing security headers (CSP / HSTS / X-Frame-Options),express app response headers middleware,Add Helmet.js / Security headers middleware; configure CSP / HSTS / X-Frame-Options,"all"
V021,Software Supply Chain Failure,Supply Chain,CRITICAL,A03:2025,Malicious or compromised dependencies build systems or package repositories,npm pip install dependency package require import gem composer,Pin & verify dependency hashes; use lockfiles; SCA scanning; verify package signatures; audit transitive deps,"all"
V022,Mishandling of Exceptional Conditions,Error Handling,HIGH,A10:2025,Improper error handling logic errors and fail-open scenarios that leak info or bypass controls,try catch except error exception finally throw,Fail closed (deny by default); generic error messages in prod; never expose stack traces; handle all error paths,"all"
V023,Security Misconfiguration,Misconfiguration,HIGH,A02:2025,Default credentials open ports verbose errors unnecessary features enabled,config env debug default settings cors permissions,Harden defaults; disable debug in prod; least-functionality; review CORS; automated config scanning,"all"
V024,Prompt Injection (LLM),AI/LLM,CRITICAL,LLM01:2025,Malicious input manipulates LLM behavior to bypass system prompts or exfiltrate data,llm openai anthropic prompt gpt claude chat ai agent completion,Treat all LLM input as untrusted; separate instructions from data; least-privilege tools; human-in-loop for high-risk actions; output filtering,"all"
V025,Insecure LLM Output Handling,AI/LLM,HIGH,LLM05:2025,LLM output used downstream without sanitization causing XSS or RCE,llm output render eval exec response generated completion,Never trust LLM output; sanitize before rendering or executing; treat as untrusted user input; validate structured output,"all"
V026,Excessive Agency (LLM),AI/LLM,HIGH,LLM06:2025,LLM agent granted too much functionality permission or autonomy,agent tool function autonomous plugin action mcp,Least-privilege tooling; scoped credentials per user; human approval for high-impact actions; limit autonomous execution,"all"
V027,Sensitive Information Disclosure (LLM),AI/LLM,HIGH,LLM02:2025,LLM leaks PII secrets or training data in responses,llm pii secret training data leak disclosure context,Scrub PII from prompts/context; restrict data in system prompt; output filtering; never put secrets in prompts,"all"
V028,Broken Object Level Authorization (API),API,CRITICAL,API1:2023,API endpoint exposes object without verifying caller can access that specific object,api endpoint object id resource get fetch,Verify object ownership on every request; never trust client-supplied IDs; use authorization middleware,"all"
V029,Broken Function Level Authorization (API),API,HIGH,API5:2023,API allows access to admin or privileged functions without role check,api admin role function privilege endpoint method,Enforce RBAC per endpoint; deny by default; separate admin routes; verify role on every privileged action,"all"
V030,Unrestricted Resource Consumption (API),API,MEDIUM,API4:2023,API has no limits on payload size requests or compute allowing DoS or cost explosion,api request payload size limit rate batch query,Rate limit; payload size caps; pagination limits; query depth limits (GraphQL); timeout enforcement,"all"
V031,XML External Entity (XXE),Injection,HIGH,A05:2025,XML parser processes external entity references leading to file disclosure or SSRF,xml parse parser dom soap xxe entity,Disable DTD/external entity processing in XML parsers; use JSON where possible; use defusedxml in Python,"python,java,php,csharp,javascript"
V032,Insufficient Logging & Monitoring,Logging,MEDIUM,A09:2025,Security events not logged or monitored delaying breach detection,log monitor audit event detect alert,Log auth/access/admin events; centralize logs; alert on anomalies; protect log integrity; never log secrets,"all"
V033,Race Condition / TOCTOU,Concurrency,HIGH,CWE-362,Time-of-check to time-of-use gap allows state manipulation (e.g. double-spend),concurrent async transaction balance check update lock,Use atomic operations; database transactions with locks; idempotency keys; optimistic/pessimistic locking,"all"
V034,Insecure Cookie Configuration,Misconfiguration,MEDIUM,A02:2025,Cookies missing HttpOnly Secure or SameSite flags,cookie session set-cookie samesite,Set HttpOnly + Secure + SameSite=Strict/Lax on all sensitive cookies; scope domain & path,"all"
V035,Container & Cloud Misconfiguration,Misconfiguration,HIGH,A02:2025,Containers running as root exposed secrets overly permissive IAM open storage buckets,docker kubernetes k8s container cloud s3 iam bucket,Run as non-root; least-privilege IAM; scan images; no secrets in images; private buckets by default,"all"
V036,Broken API Authentication,API,CRITICAL,API2:2023,API authentication tokens or credential recovery flows are weak or improperly validated,api authentication bearer token credential recovery login,"Use mature authentication libraries; validate token issuer audience expiry and signature; protect recovery and MFA flows","all"
V037,Broken Object Property Level Authorization,API,HIGH,API3:2023,API exposes or accepts object properties the caller is not allowed to access or modify,api property field object response mass assignment,"Use explicit request and response schemas; enforce property-level authorization; allowlist writable fields","all"
V038,Unrestricted Access to Sensitive Business Flows,API,HIGH,API6:2023,Automated abuse of business workflows such as purchases reservations or account creation,api business flow automation bot purchase reservation signup,"Model abuse cases; apply business limits, bot defenses, anomaly detection, and step-up verification","all"
V039,Improper API Inventory Management,API,MEDIUM,API9:2023,Undocumented deprecated or test API versions remain exposed,api inventory version deprecated shadow endpoint,"Maintain an API inventory and ownership; retire old versions; block test and debug endpoints in production","all"
V040,Unsafe Consumption of APIs,API,HIGH,API10:2023,Data from third-party APIs is trusted without validation or resource limits,api third-party upstream integration response,"Validate upstream data; enforce timeouts and size limits; use TLS; isolate and monitor third-party integrations","all"
V041,Data and Model Poisoning (LLM),AI/LLM,HIGH,LLM04:2025,Manipulated training fine-tuning or retrieval data changes model behavior or outputs,llm model poison training fine-tune rag dataset,"Track data provenance; validate and version datasets; restrict contributors; evaluate models and retrieval corpora before release","all"
V042,System Prompt Leakage (LLM),AI/LLM,MEDIUM,LLM07:2025,System prompts or hidden instructions disclose secrets controls or sensitive implementation details,llm system prompt leak hidden instruction,"Do not place secrets or authorization logic in prompts; assume prompts may be disclosed; enforce controls outside the model","all"
V043,Vector and Embedding Weaknesses (LLM),AI/LLM,HIGH,LLM08:2025,Weak tenant isolation or untrusted retrieval content causes disclosure or manipulated results,llm rag vector embedding retrieval tenant,"Enforce tenant-aware authorization on retrieval; validate sources; isolate indexes; treat retrieved content as untrusted","all"
V044,Misinformation (LLM),AI/LLM,MEDIUM,LLM09:2025,Confident but incorrect model output causes unsafe decisions or actions,llm misinformation hallucination factual decision,"Ground high-impact answers in trusted sources; expose uncertainty; require verification or human review","all"
V045,Unbounded Consumption (LLM),AI/LLM,HIGH,LLM10:2025,Unrestricted model requests context or agent loops cause denial of service or excessive cost,llm token context loop cost denial wallet,"Set token, cost, concurrency, recursion, and timeout budgets; monitor and terminate abnormal workloads","all"
V046,LLM Supply Chain Risk,AI/LLM,HIGH,LLM03:2025,Compromised models adapters datasets plugins or dependencies introduce malicious behavior,llm model adapter dataset plugin supply chain,"Verify provenance and integrity; pin artifacts; scan dependencies; evaluate third-party models and plugins","all"
V047,API Security Misconfiguration,API,HIGH,API8:2023,Insecure defaults CORS methods debug output or transport configuration expose APIs,api cors debug method configuration tls,"Harden API gateways and services; restrict methods and CORS; disable debug; automate configuration testing","all"
V048,API Server-Side Request Forgery,API,CRITICAL,API7:2023,API fetches a user-controlled URL without validating the destination,api ssrf webhook url fetch callback,"Allowlist destinations and schemes; block internal and metadata networks; validate redirects and DNS resolution","all"
V049,Server-Side Template Injection (SSTI),Injection,CRITICAL,A05:2025,User-controlled input rendered as template source executes attacker-controlled template expressions or server-side code,template ssti jinja2 twig pebble mako freemarker velocity ejs pug nunjucks render_template_string expression engine,"Never compile or render untrusted data as template source; use static named templates and pass untrusted data only as values; use restricted or sandboxed engines only as defense in depth","python,javascript,java,php,ruby"
V050,NoSQL Injection,Injection,HIGH,A05:2025,"Untrusted input changes NoSQL query logic, operators, scripts, or filters and can cause authentication bypass or data exfiltration",nosql nosqli mongodb mongoose elasticsearch redis cassandra document collection query operator filter script,"Define typed allowlist request schemas and construct queries server-side; never accept client-supplied query objects, operators, scripts, or filters; use least-privilege data-store accounts","javascript,python,java,go,csharp"
