id,language,category,rule,bad_example,good_example,reference
R036,all,race_condition,Use atomic DB operations for balance/inventory updates,"bal = get(); set(bal - amount)  // race","UPDATE accounts SET bal=bal-? WHERE id=? AND bal>=?  // atomic",CWE-362
R037,all,api,Verify object ownership on every API request (prevent BOLA),"Order.find(req.params.id)  // any user's order","Order.find({id: req.params.id, userId: req.user.id})",OWASP API1:2023
R038,all,oauth,Always validate OAuth state and use exact redirect_uri,"redirect_uri: req.query.url  // open redirect","Whitelist exact redirect_uri; validate state param matches",OWASP A01:2025
R039,c,memory_safety,Use bounds-checked APIs and validate lengths before every memory operation,"strcpy(dst, input);","Validate input length and use a bounded operation sized to dst",CWE-120
R040,cpp,memory_safety,Prefer RAII containers and smart pointers over raw ownership,"char* p = new char[n]; delete[] p;","std::vector<char> data(n); // automatic bounds-aware lifetime",CWE-416
R041,rust,memory_safety,Minimize unsafe blocks and document invariants at each unsafe boundary,"unsafe { raw_ptr.as_ref().unwrap() }","Use safe APIs; isolate unavoidable unsafe code and test its invariants",OWASP ASVS 5.0.0 V15
R042,all,architecture,Threat-model high-risk workflows before implementation,"Build payment flow without abuse cases or trust boundaries","Document assets, trust boundaries, abuse cases, controls, and negative tests",OWASP ASVS 5.0.0 V15
R043,all,supply_chain,Generate an SBOM and verify release provenance,"Deploy artifact with unknown transitive dependencies","Generate SBOM; sign artifact; verify provenance before deploy",OWASP ASVS 5.0.0 V13
R044,all,secrets,Run secret scanning and revoke exposed credentials,"Remove leaked key from latest commit only","Revoke key immediately; scan history; remediate exposure; prevent recurrence",OWASP ASVS 5.0.0 V13
R045,terraform,cloud,Prevent public and wildcard cloud permissions by policy,"actions = ['*']; resources = ['*']","Use least-privilege actions and resources; enforce policy-as-code checks",OWASP ASVS 5.0.0 V13
R046,all,privacy,Define and test retention and deletion for sensitive data,"Keep all user data and backups indefinitely","Set approved retention; test deletion across primary data, caches, and backups",OWASP ASVS 5.0.0 V14
R047,all,testing,Add negative authorization tests for every protected resource,"Test only that the owner can access the object","Test unauthenticated, wrong-user, wrong-role, and cross-tenant access",OWASP ASVS 5.0.0 V8
R048,all,incident_response,Design credentials and sessions for rapid revocation,"Long-lived credentials cannot be centrally revoked","Use short-lived credentials and tested centralized revocation procedures",OWASP ASVS 5.0.0 V16
R049,python,ssti,Never pass user-controlled input as a Jinja2/Mako template string,"render_template_string(user_input)  # arbitrary code execution","render_template('page.html', data=user_input)  # static template only",OWASP A05:2025
R050,javascript,ssti,Never use template literals or eval to render user input as server-side template logic,"new Function('return ' + userExpr)()  # code execution","Use a sandboxed expression evaluator; never eval user strings",OWASP A05:2025
R051,javascript,injection,Type-check MongoDB query fields to prevent operator injection,"User.findOne({ username: req.body.username })  // {$ne:null} bypass","if (typeof req.body.username !== 'string') return 400; User.findOne({username: req.body.username})",OWASP A05:2025
